Reference	ID	Tags	OrigWords	Occurrence	TWLink	selections	comments	bookmarks	verseEdits	invalidated
3:9	kgjd	other	μάχας	1	rc://*/tw/dict/bible/other/strife			0	0	0
3:9	qdwm	other	μάταιοι	1	rc://*/tw/dict/bible/other/vain			0	0	0
3:10	czjk	other	νουθεσίαν	1	rc://*/tw/dict/bible/other/admonish	[{"text":"amonestación","occurrence":1,"occurrences":1}]		0	0	0
3:10	cf9q	other	παραιτοῦ	1	rc://*/tw/dict/bible/other/reject			0	0	0
3:11	f74c	kt	ἁμαρτάνει	1	rc://*/tw/dict/bible/kt/sin			0	0	0
3:11	syjf	other	εἰδὼς	1	rc://*/tw/dict/bible/other/know			0	0	0
3:11	sqgk	other	ἐξέστραπται	1	rc://*/tw/dict/bible/other/perverse			0	0	0
3:12	adg4	names	Τυχικόν	1	rc://*/tw/dict/bible/names/tychicus			0	0	0
3:13	sy96	names	Ἀπολλῶν	1	rc://*/tw/dict/bible/names/apollos	[{"text":"diligentemente","occurrence":1,"occurrences":1},{"text":"Apolos","occurrence":1,"occurrences":1},{"text":"falte","occurrence":1,"occurrences":1}]		0	0	0
3:13	v462	other	νομικὸν	1	rc://*/tw/dict/bible/other/law			0	0	0
3:14	m7z9	kt	καλῶν	1	rc://*/tw/dict/bible/kt/good			0	0	0
3:14	en8v	other	ἄκαρποι	1	rc://*/tw/dict/bible/other/fruit			0	0	0
3:15	b3pn	kt	πίστει	1	rc://*/tw/dict/bible/kt/faith			0	0	0
3:15	stmk	kt	χάρις	1	rc://*/tw/dict/bible/kt/grace			0	0	0
3:15	xuej	kt	φιλοῦντας	1	rc://*/tw/dict/bible/kt/love			0	0	0
